0,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,3.87,
2,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,4.19,
4,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,3.87,
6,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.05,4.51,
8,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,3.54,
10,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,3.87,
12,0.22,21.59,0.22,21.59,0.22,21.59,0.22,21.59,0.21,21.27,0.04,3.87,
14,0.22,21.59,0.22,21.59,0.22,21.59,0.22,21.59,0.21,21.27,0.04,4.19,
16,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,3.54,
18,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,4.19,
20,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.91,0.21,21.27,0.04,4.19,
22,0.22,21.59,0.22,21.59,0.22,21.59,0.22,21.59,0.21,21.27,0.04,3.87,
24,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.59,0.21,20.95,0.03,3.22,
26,0.22,21.91,0.22,21.59,0.22,21.59,0.22,21.91,0.21,21.27,0.04,4.19,
28,0.22,21.59,0.22,21.59,0.22,21.59,0.22,21.59,0.21,21.27,0.04,3.54,
30,0.22,21.59,0.22,21.59,0.22,21.59,0.22,21.91,0.21,21.27,0.04,3.87,
32,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.91,0.21,21.27,0.04,3.87,
34,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,3.54,
36,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.91,0.21,21.27,0.04,4.19,
38,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.91,0.21,21.27,0.04,3.54,
40,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.91,0.21,21.27,0.04,4.19,
42,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.91,0.21,20.95,0.04,3.54,
44,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.59,0.21,20.95,0.05,4.51,
46,0.22,21.91,0.22,21.59,0.22,21.91,0.22,21.91,0.21,21.27,0.04,3.87,
48,0.22,21.91,0.22,21.59,0.22,21.59,0.22,21.91,0.21,21.27,0.04,3.54,
50,0.22,21.59,0.22,21.59,0.22,21.91,0.22,21.59,0.21,21.27,0.04,3.87,
52,0.22,21.59,0.22,21.59,0.22,21.59,0.22,21.59,0.21,20.95,0.04,3.54,
